src_name,n_transcripts,from_date,to_date
scunthorpe telegraph,9198,2012-01-01 00:00:00,2013-08-31 00:00:00
"sepa, scottish environment protection agency",94,2013-02-19 00:00:00,2014-08-27 00:00:00
sheffield today,6284,2012-01-01 00:00:00,2012-07-04 00:00:00
sinn fein,40,2011-12-02 00:00:00,2012-03-05 00:00:00
skegness standard,913,2012-01-03 00:00:00,2012-07-04 00:00:00
skynews,16526,2011-12-30 02:17:00,2014-05-23 00:00:00
slough and south bucks observer,2514,2012-01-01 13:22:00,2013-06-30 00:00:00
socialist productions blog,8,2012-01-07 00:00:00,2012-03-03 00:00:00
socialist worker (britain) on facebook,193,2012-01-06 00:00:00,2012-03-30 00:00:00
socialist worker online,282,2012-01-11 00:00:00,2012-10-24 00:00:00
somerset county gazette,5017,2012-01-01 00:00:00,2014-09-09 00:00:00
south manchester reporter,262,2011-12-30 00:00:00,2013-01-18 11:20:00
south wales argus,680,2012-01-01 00:00:00,2012-02-22 00:00:00
south wales evening post,11987,2013-01-01 00:00:00,2015-02-04 00:00:00
southern daily echo,41764,2010-01-01 00:00:00,2012-08-31 00:00:00
southern daily echo - this is hampshire,8250,2010-02-09 00:00:00,2014-09-12 00:00:00
southwark news,485,2012-01-11 00:00:00,2014-04-04 00:00:00
spalding guardian,4331,2011-12-11 00:00:00,2013-06-20 00:00:00
stackyard - uk agricultural news,419,2012-01-04 00:00:00,2013-01-11 00:00:00
staffordshire gov - england,304,2013-01-23 00:00:00,2014-09-15 00:00:00
stamford mercury,1585,2012-01-01 00:00:00,2012-07-04 00:00:00
starbane chronicle,121,2012-12-28 00:00:00,2013-06-10 00:00:00
stockport express,551,2011-12-30 00:00:00,2013-01-21 00:00:00
stop nuclear power network uk,89,2012-02-03 00:00:00,2014-08-21 00:00:00
streatham guardian,1317,2010-05-10 00:00:00,2012-02-21 14:30:00
sunderland echo,2900,2012-01-01 00:00:00,2012-07-03 00:00:00
surrey advertiser,4406,2010-01-05 00:00:00,2013-01-11 00:00:00
surrey constabulary blog,619,2011-06-01 00:00:00,2011-09-18 00:00:00
sutton guardian,4483,2012-01-01 00:00:00,2014-07-08 00:00:00
telegraph uk,5398,2011-12-30 21:19:00,2013-11-05 00:00:00
the bath chronicle,10460,2012-01-01 00:00:00,2013-09-02 00:00:00
the berwickshire news,14351,2010-01-02 04:50:00,2013-06-27 00:00:00
the buchanan observer,934,2010-07-13 00:00:00,2013-06-28 00:00:00
the commune blog,26,2012-01-12 00:00:00,2012-08-01 00:00:00
the courier and advertiser,2646,2012-01-02 00:00:00,2012-12-11 00:00:00
the cumberland news,15602,2010-01-01 05:50:00,2015-01-30 00:00:00
the daily mail,138438,2010-11-01 00:00:00,2014-05-23 00:00:00
the daily star,21226,2010-04-01 00:00:00,2013-07-01 00:00:00
the daily telegraph,284107,2010-01-01 02:31:00,2015-02-04 00:00:00
the farmers guardian,1726,2010-04-26 00:00:00,2012-10-03 07:39:00
the guardian,9457,2011-12-28 09:23:00,2014-10-27 00:00:00
the guardian europe,17262,2012-05-09 00:00:00,2014-09-15 00:00:00
the guardian uk,2230,2011-07-19 00:00:00,2013-07-01 00:00:00
the herald (scotland),15984,2012-02-05 00:00:00,2014-09-15 00:00:00
the independent uk,16763,2012-02-09 00:00:00,2013-06-30 00:00:00
the irish republican socialist party,49,2012-01-29 00:00:00,2012-03-20 00:00:00
the lancaster and morecambe citizen,292,2011-12-30 14:16:00,2014-11-30 00:00:00
the new agriculturist,138,2011-04-01 00:00:00,2014-04-01 00:00:00
the northern echo,8602,2011-12-31 00:00:00,2012-08-30 00:00:00
the pig site - uk,1079,2011-12-29 10:51:00,2012-05-11 19:49:00
the press (york),14108,2010-01-04 00:00:00,2014-04-01 00:00:00
the press and journal,4970,2012-01-02 00:00:00,2014-05-21 00:00:00
the reading chronicle,4771,2012-01-01 05:56:00,2013-01-09 00:00:00
the scotsman,25747,2012-02-08 00:00:00,2013-07-01 00:00:00
the westmorland gazette,187,2012-01-01 00:00:00,2012-02-21 00:00:00
this is cheshire,4804,2012-01-01 04:08:00,2014-09-04 00:00:00
this is exeter,14939,2012-01-02 00:00:00,2013-08-30 00:00:00
this is gloucestershire,28894,2011-12-31 00:00:00,2013-12-05 00:00:00
times and star,1553,2011-12-23 00:00:00,2015-02-03 00:00:00
tyrone times,3679,2012-04-11 00:00:00,2013-08-30 00:00:00
uk representation to the eu,41,2012-06-25 00:00:00,2013-03-20 00:00:00
uk uncut blog,82,2012-02-17 00:00:00,2014-07-01 00:00:00
uk uncut on twitter,2492,2012-01-04 00:00:00,2012-05-23 00:00:00
ulster defence league on facebook,151,2011-12-25 00:00:00,2012-03-25 00:00:00
ulster star,500,2012-01-01 00:00:00,2012-07-04 00:00:00
unite against fascism,224,2012-01-27 00:00:00,2014-05-22 00:00:00
unite against fascism on facebook,92,2011-11-28 00:00:00,2012-03-28 00:00:00
unite against fascism on twitter,312,2012-01-09 00:00:00,2012-05-15 00:00:00
voice of africa radio,394,2012-01-03 16:45:00,2013-01-15 22:29:00
waltham forest guardian,6406,2012-01-01 05:13:00,2014-08-25 00:00:00
wandsworth guardian,8654,2012-01-01 00:00:00,2012-08-31 00:00:00
wanstead and woodford guardian,1099,2012-01-01 00:00:00,2012-08-28 00:00:00
watford observer,497,2012-01-01 12:49:00,2014-07-08 00:00:00
west sussex county times,3426,2012-01-01 05:55:00,2013-06-10 00:00:00
western mail,6319,2011-04-08 00:00:00,2013-04-09 00:00:00
wharf,3249,2012-01-03 00:00:00,2015-02-05 00:00:00
whitby gazette,438,2012-01-02 00:00:00,2012-06-30 00:00:00
wilmslow express,112,2011-10-12 00:00:00,2013-03-28 00:00:00
wiltshire news / this is wiltshire,16539,2012-01-02 00:00:00,2015-02-04 00:00:00
wimbledon guardian,292,2012-01-01 06:04:00,2012-08-30 00:00:00
wirral globe,2466,2012-01-01 15:17:00,2014-08-25 00:00:00
wisbech standard,5109,2011-12-30 00:00:00,2014-11-19 00:00:00
woking news and mail,566,2012-01-03 07:46:00,2013-01-11 17:47:00
wokingham times,5488,2010-01-26 00:00:00,2013-06-10 00:00:00
worcester news,9961,2012-01-01 00:00:00,2014-07-08 00:00:00
worksop guardian,3851,2011-12-28 11:18:00,2013-08-23 00:00:00
world nuclear news,1041,2012-01-03 12:31:00,2014-08-27 00:00:00
worthing herald,3096,2011-12-06 00:00:00,2015-02-04 00:00:00
yorkshire evening post,19816,2011-08-23 00:00:00,2013-06-06 00:00:00
yorkshire post,1012,2013-01-15 00:00:00,2013-06-05 00:00:00
